Threshold,Clusters,Singletons,Intra-Cluster-Similarity,Inter-Cluster-Similarity,Homogeneity,Completeness,V-Measure,ARI,NMI,FMS
50,6,0,55.90386324786325,46.575436720142605,0.17899633227423759,0.40751870625075415,0.24873822139487806,0.022711631108052306,0.04987287115289736,0.18002206235419793
55,19,7,57.941660988074965,47.46954223272297,0.35778729055630953,0.5055785767252382,0.4190334503248303,0.03149062444040828,0.06044713992301662,0.15926309083660745
60,38,19,63.97222222222222,49.479139042357275,0.6193370753971278,0.5430854703940469,0.5787103289459892,0.023642732049036778,0.0521009154324386,0.07509392614826384
61,44,23,66.71877049180327,49.71061063542136,0.7052277338963813,0.5694891720538378,0.6301313749136683,0.04218318023722465,0.07869476872696855,0.08326654129243263
62,47,27,67.29354545454545,49.74226741573034,0.7306895298917616,0.5781625888206716,0.645538704008773,0.04726938962826985,0.08776570184956775,0.08769081332905015
63,55,38,68.40269662921348,49.80262581078058,0.7893104207985625,0.5968618075086032,0.6797268547481126,0.056923151327562024,0.10683339618592884,0.09748896000038454
64,59,40,69.37216216216216,49.8488274632189,0.8168334042577415,0.6005689092416372,0.6922025482180365,0.05240921436475204,0.09597437030597435,0.09265880056689396
65,64,47,70.34934426229508,49.891991553678594,0.8390320323172207,0.6009102640664208,0.7002821729261826,0.03402282082009066,0.072863613029134,0.07065400319259454
66,65,47,70.91672727272727,49.91231076581577,0.846270457644505,0.6007977260715323,0.7027137661042043,0.030463576158940398,0.06480854270718751,0.06614055333625071
67,70,54,72.37878048780489,49.96411816773622,0.873540225236958,0.604112199122805,0.7142631078736639,0.0238791154249159,0.05045984320251325,0.05745376632555734
68,75,61,74.124,50.006988962472406,0.8979061390907478,0.6064891648321459,0.7239724066869537,0.015384615384615385,0.03264785874266073,0.0447773662839645
69,77,64,74.7174074074074,50.01941539819104,0.904891348551306,0.6062701875333627,0.7260754518738358,0.009832672071761256,0.02109591403388563,0.03539961627023943
70,79,67,75.68173913043478,50.036301520828744,0.9131195576896688,0.6063798997182922,0.7287891326624066,0.004598637871820245,0.009993978415051542,0.025569678021609896
71,80,69,75.90090909090908,50.040890260026444,0.9181906972226425,0.6077010125160353,0.7313565082289675,0.005021604577834871,0.010927123331002722,0.026144349280800106
75,90,85,82.23285714285713,50.11635185591918,0.9676590928745739,0.6161331212923401,0.7528851473150279,-0.0030004286326618087,-0.006520270471730859,0.0
80,91,87,83.04666666666667,50.12233201581028,0.9727302324075475,0.617368608721786,0.755340604885356,-0.002580169553999263,-0.005622720805813346,0.0
85,95,94,85.89,50.15781750383856,0.9949288604670266,0.6226845823198786,0.7659764014455165,-0.00043714481983388496,-0.000974112031831805,0.0
90,96,96,0.0,50.16565350877193,1.0000000000000002,0.6238783230385956,0.7683806282618474,0.0,3.642216395253714e-13,0.0
95,96,96,0.0,50.16565350877193,1.0000000000000002,0.6238783230385956,0.7683806282618474,0.0,3.642216395253714e-13,0.0
100,96,96,0.0,50.16565350877193,1.0000000000000002,0.6238783230385956,0.7683806282618474,0.0,3.642216395253714e-13,0.0
