Threshold,Clusters,Singletons,Intra-Cluster-Similarity,Inter-Cluster-Similarity,Homogeneity,Completeness,V-Measure,ARI,NMI,FMS
30,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
35,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
40,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
41,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
42,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
43,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
44,1,0,47.51625615763547,0.0,0.0,1.0,0.0,0.0,4.568208190942339e-16,0.6702467972551374
45,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
46,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
47,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
48,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
49,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
50,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
51,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
52,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
53,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
54,2,0,48.24277777777778,37.70821428571429,0.02974505925064196,0.15008522695876103,0.049650079112213114,-0.02005231037489102,-0.0205290127171867,0.6354985818147704
55,4,0,49.92059800664452,40.62380952380953,0.09464636078809147,0.1806045450442069,0.12420349991972551,-0.03614414672589196,0.01032990676356428,0.5764075922787888
56,5,0,50.37963898916968,41.3677519379845,0.13029609824335425,0.18187932269724447,0.15182595751575348,-0.03799949188836062,0.002242992044725989,0.5487833840826932
57,5,0,50.37963898916968,41.3677519379845,0.13029609824335425,0.18187932269724447,0.15182595751575348,-0.03799949188836062,0.002242992044725989,0.5487833840826932
58,5,0,50.37963898916968,41.3677519379845,0.13029609824335425,0.18187932269724447,0.15182595751575348,-0.03799949188836062,0.002242992044725989,0.5487833840826932
59,5,0,50.37963898916968,41.3677519379845,0.13029609824335425,0.18187932269724447,0.15182595751575348,-0.03799949188836062,0.002242992044725989,0.5487833840826932
60,6,0,54.275563380281696,43.880568181818184,0.15715150639373981,0.11127275446474141,0.1302913598702927,-0.05912771977753927,-0.024060472371741963,0.36272084111136166
61,8,0,55.798846153846156,44.663973509933776,0.269825557825376,0.14744906392410212,0.1906922868078791,-0.04255912650182311,0.0035868404152004578,0.30886126294686667
62,11,0,57.787313432835816,45.48628318584071,0.3630962449549799,0.15439966233028124,0.21666620672823503,-0.03120042305658382,-0.019326509002785614,0.24101340312256653
63,15,0,60.79666666666666,46.570158311345644,0.5376829096084923,0.1804310626850516,0.2701930404122371,-0.004480491194590222,-0.010741160733039946,0.1725677569321074
64,16,0,61.21,46.61771653543307,0.5376829096084923,0.1804310626850516,0.2701930404122371,-0.004480491194590222,-0.010741160733039946,0.1725677569321074
65,19,0,61.644705882352945,46.89881748071979,0.6640860998118248,0.2094106915809691,0.31841383002485973,0.01845410426777197,0.024636888493148462,0.18065152032833257
66,21,0,61.26214285714285,47.025331632653064,0.6885519708700663,0.20706339556501518,0.31838200739864997,0.009642678243446319,-0.009994063539289229,0.1548308843213331
67,23,0,69.84166666666667,47.18137500000001,0.7407203485221447,0.20737155305782384,0.3240283537884722,-0.009486232370718602,-0.03004626633241248,0.06757373783994858
68,25,0,71.18249999999999,47.28077114427861,0.7407203485221447,0.20010882819020154,0.31509371653919915,-0.02454709764196545,-0.07798381673241181,0.0
69,27,0,74.10499999999999,47.38462871287128,0.8703601742610723,0.22717528542641469,0.3603060279580275,-0.012290596851586833,-0.03916449138867749,0.0
70,27,0,74.10499999999999,47.38462871287128,0.8703601742610723,0.22717528542641469,0.3603060279580275,-0.012290596851586833,-0.03916449138867749,0.0
75,28,0,77.96,47.441086419753084,0.9351800871305362,0.2400330427527813,0.38201431915254547,-0.006149569319545942,-0.01962567853799942,0.0
80,29,0,0.0,47.51625615763547,1.0,0.2524699635978046,0.40315531858754927,0.0,-2.0057200237637388e-15,0.0
85,29,0,0.0,47.51625615763547,1.0,0.2524699635978046,0.40315531858754927,0.0,-2.0057200237637388e-15,0.0
90,29,0,0.0,47.51625615763547,1.0,0.2524699635978046,0.40315531858754927,0.0,-2.0057200237637388e-15,0.0
95,29,0,0.0,47.51625615763547,1.0,0.2524699635978046,0.40315531858754927,0.0,-2.0057200237637388e-15,0.0
